ARO,localization,mobility,drug_class
ARO:3003390,chromosome,FALSE,multidrug
ARO:3004114,chromosome,FALSE,multidrug
ARO:3005044,chromosome,FALSE,peptide
ARO:3004122,chromosome,FALSE,multidrug
ARO:3003385,chromosome,FALSE,multidrug
ARO:3002867,chromosome,FALSE,diaminopyrimidine
ARO:3000412,plasmids,TRUE,sulfonamide
ARO:3000410,integron,TRUE,sulfonamide
ARO:3002861,integron,TRUE,diaminopyrimidine
ARO:3002875,chromosome,FALSE,diaminopyrimidine
ARO:3002854,integron,TRUE,diaminopyrimidine
ARO:3000194,mixed,TRUE,tetracycline
ARO:3000191,transposon,TRUE,tetracycline
ARO:3000196,plasmids,TRUE,tetracycline
ARO:3000190,plasmids,TRUE,tetracycline
ARO:3004442,mixed,TRUE,tetracycline
ARO:3000616,chromosome,FALSE,macrolide
ARO:3000556,chromosome,FALSE,tetracycline
ARO:3000186,plasmids,TRUE,tetracycline
ARO:3003206,plasmids,TRUE,multidrug
ARO:3000195,plasmids,TRUE,tetracycline
ARO:3002819,chromosome,FALSE,macrolide
ARO:3003761,chromosome,FALSE,pleuromutilin
ARO:3004730,chromosome,FALSE,pleuromutilin
ARO:3005121,chromosome,FALSE,multidrug
ARO:3000300,chromosome,FALSE,multidrug
ARO:3002734,plasmids,TRUE,fluoroquinolone
ARO:3002719,plasmids,TRUE,fluoroquinolone
ARO:3003930,chromosome,TRUE,tetracycline
ARO:3000263,chromosome,FALSE,multidrug
ARO:3003288,chromosome,FALSE,rifamycin
ARO:3003381,chromosome,FALSE,multidrug
ARO:3003511,chromosome,FALSE,multidrug
ARO:3003378,chromosome,FALSE,multidrug
ARO:3003820,chromosome,FALSE,multidrug
ARO:3003807,chromosome,FALSE,multidrug
ARO:3004126,chromosome,FALSE,multidrug
ARO:3004127,chromosome,FALSE,multidrug
ARO:3004480,chromosome,FALSE,rifamycin
ARO:3003078,chromosome,FALSE,peptide
ARO:3003079,chromosome,FALSE,peptide
ARO:3003383,chromosome,FALSE,multidrug
ARO:3003790,chromosome,FALSE,peptide
ARO:3004563,chromosome,FALSE,rifamycin
ARO:3003585,chromosome,FALSE,macrolide
ARO:3003792,chromosome,FALSE,peptide
ARO:3003077,chromosome,FALSE,peptide
ARO:3003791,chromosome,FALSE,peptide
ARO:3003380,chromosome,FALSE,multidrug
ARO:3003373,chromosome,FALSE,multidrug
ARO:3003966,chromosome,FALSE,multidrug
ARO:3003968,chromosome,FALSE,multidrug
ARO:3003379,chromosome,FALSE,multidrug
ARO:3003382,chromosome,FALSE,multidrug
ARO:3000823,chromosome,FALSE,multidrug
ARO:3000567,chromosome,FALSE,tetracycline
ARO:3003550,chromosome,FALSE,multidrug
ARO:3000508,chromosome,FALSE,multidrug
ARO:3000796,chromosome,FALSE,multidrug
ARO:3000830,chromosome,FALSE,multidrug
ARO:3001216,chromosome,FALSE,fluoroquinolone
ARO:3000792,chromosome,FALSE,aminocoumarin
ARO:3000656,chromosome,FALSE,multidrug
ARO:3000254,chromosome,FALSE,tetracycline
ARO:3001329,chromosome,FALSE,phosphonic_acid
ARO:3000206,chromosome,FALSE,tetracycline
ARO:3000793,chromosome,FALSE,aminocoumarin
ARO:3000237,chromosome,FALSE,multidrug
ARO:3000518,chromosome,FALSE,multidrug
ARO:3000829,chromosome,FALSE,multidrug
ARO:3000832,chromosome,FALSE,multidrug
ARO:3000216,chromosome,FALSE,multidrug
ARO:3001214,chromosome,FALSE,multidrug
ARO:3000676,chromosome,FALSE,multidrug
ARO:3000794,chromosome,FALSE,aminocoumarin
ARO:3000833,chromosome,FALSE,multidrug
ARO:3000516,chromosome,FALSE,fluoroquinolone
ARO:3000828,chromosome,FALSE,multidrug
ARO:3000491,chromosome,FALSE,aminoglycoside
ARO:3000502,chromosome,FALSE,multidrug
ARO:3003548,chromosome,FALSE,multidrug
ARO:3000499,chromosome,FALSE,multidrug
